"","V1","V2"
"1","a","lot"
"2","a","little"
"3","a","great"
"147","–","the"
"148","”","i"
"149","”","―"
"150","”","thanks"
"155","“","i"
"156","“","the"
"157","“","im"
"250","�","�"
"251","�","i"
"252","�","blog"
"253","❒","single"
"254","⁰rising","th"
"255","⁰travel","team"
"256","aaron","rodgers"
"257","abc","news"
"258","abc","family"
"259","able","get"
"260","able","make"
"261","able","see"
"285","about","go"
"286","about","watch"
"287","about","to"
"303","abraham","lincoln"
"304","absolute","best"
"305","absolute","favorite"
"306","absolutely","love"
"307","absolutely","nothing"
"308","absolutely","amazing"
"320","abuse","neglect"
"321","academy","award"
"322","academy","awards"
"323","accept","fact"
"324","acceptance","speech"
"325","accepting","applications"
"326","accident","i"
"327","accomplish","anything"
"328","account","i"
"329","account","hacked"
"330","account","related"
"340","accounts","i"
"341","achieve","anything"
"342","achieving","goals"
"343","acoustic","show"
"344","acoustic","set"
"345","across","street"
"346","across","country"
"347","across","america"
"353","act","like"
"354","act","habit"
"355","act","together"
"359","acted","like"
"360","actin","like"
"361","acting","like"
"362","acting","class"
"363","action","movie"
"364","actions","speak"
"365","acts","like"
"366","acts","kindness"
"367","actual","fuck"
"368","actually","i"
"369","actually","get"
"370","actually","really"
"421","ad","campaign"
"422","ad","agency"
"423","adam","yauch"
"424","adam","sandler"
"425","adam","levine"
"428","add","list"
"429","add","facebook"
"430","add","boston"
"438","added","new"
"439","added","bonus"
"440","added","list"
"441","adding","new"
"442","adding","list"
"443","adding","us"
"445","address","i"
"446","address","ill"
"447","address","can"
"450","admit","i"
"451","admit","im"
"452","adorable","i"
"453","adrian","gonzalez"
"454","adventure","time"
"455","advice","i"
"456","advice","ive"
"457","advisory","board"
"458","af","i"
"459","affordable","housing"
"460","afraid","i"
"461","afraid","ask"
"462","afraid","say"
"464","african","american"
"465","african","proverb"
"466","african","americans"
"467","after","i"
"468","after","years"
"469","after","watching"
"481","afternoon","i"
"482","afternoon","everyone"
"483","afternoon","im"
"485","again","i"
"486","age","i"
"487","agenda","today"
"488","ago","i"
"489","ago","today"
"490","ago","now"
"497","agree","i"
"498","agree","rt"
"499","agree","w"
"514","agreed","rt"
"515","agreed","i"
"516","agreed","its"
"520","ah","i"
"521","ah","yes"
"522","ah","im"
"538","aha","i"
"539","ahaha","i"
"540","ahead","time"
"541","ahead","i"
"542","ahead","us"
"544","ahh","i"
"545","ahh","im"
"546","ahh","yes"
"548","aim","high"
"549","aim","please"
"550","aint","got"
"551","aint","even"
"552","aint","shit"
"586","air","force"
"587","air","conditioning"
"588","air","i"
"595","airplane","mode"
"596","airport","security"
"597","airport","waiting"
"598","aka","the"
"599","akward","moment"
"600","al","day"
"601","al","gore"
"602","al","qaeda"
"606","alarm","clock"
"607","alarm","goes"
"608","alas","i"
"609","albert","einstein"
"610","albert","pujols"
"611","albert","camus"
"612","album","i"
