"","V1","V2"
"1","‘","don’t"
"2","‘","’"
"3","‘","will"
"9","’","said"
"10","’","”"
"11","“","don’t"
"12","“","know"
"13","“","just"
"272","“”","said"
"273","”","said"
"274","”","asked"
"275","”","says"
"298","€","million"
"299","€","billion"
"300","–","it’s"
"301","–","just"
"302","–","one"
"337","—","even"
"338","–","new"
"339","–","two"
"340","–","can’t"
"344","—","just"
"345","–","way"
"346","–","perhaps"
"347","–","great"
"348","—","one"
"349","–","always"
"350","–","fact"
"351","–","another"
"354","—","will"
"355","–","best"
"356","–","last"
"357","–","things"
"363","—","it’s"
"364","–","often"
"365","–","little"
"366","–","might"
"380","♥","♥"
"381","–","case"
"382","–","didn’t"
"383","–","every"
"384","—","like"
"385","–","you’re"
"386","—","including"
"387","–","far"
"388","–","right"
"389","–","work"
"406","—","can"
"407","–","world"
"408","–","i’d"
"409","–","particularly"
"421","♥","love"
"422","″","x"
"423","–","everything"
"424","–","mean"
"425","–","since"
"427","—","that’s"
"428","–","doesn’t"
"429","–","keep"
"430","–","words"
"435","—","“"
"436","–","feel"
"437","–","let’s"
"438","—","now"
"439","–","points"
"440","–","seems"
"441","–","th"
"444","—","least"
"445","–","makes"
"446","–","she’s"
"447","–","wasn’t"
"449","—","especially"
"450","–","everyone"
"451","–","except"
"452","–","find"
"456","—","also"
"457","–","rest"
"458","–","small"
"459","–","someone"
"462","—","i’m"
"463","–","less"
"464","–","please"
"465","–","told"
"468","—","first"
"469","–","live"
"470","–","thought"
"471","–","try"
"477","…","i’m"
"478","–","mostly"
"479","—","much"
"480","–","remember"
"481","–","true"
"482","…","will"
"483","–","example"
"484","–","getting"
"485","–","isn’t"
"486","…","it’s"
"487","…","just"
"488","–","literally"
"489","–","next"
"490","–","perfect"
"493","…","well"
"494","–","you’ll"
"495","–","april"
"496","–","short"
"498","￼","￼"
"499","–","along"
"500","–","bad"
"501","–","free"
"503","—","many"
"504","…","“"
"505","—","—"
"506","–","ever"
"507","–","given"
"508","–","idea"
"511","—","professor"
"512","–","am"
"513","–","better"
"514","–","come"
"540","—","well"
"541","–","won’t"
"542","–","according"
"543","–","bit"
"544","—","don’t"
"545","–","guess"
"546","—","know"
"547","–","looking"
"548","–","mention"
"549","–","reason"
"552","—","think"
"553","–","thus"
"554","–","took"
"555","–","young"
"562","—","two"
"563","…","can"
"564","–","dead"
"565","–","haven’t"
"566","–","looks"
"569","—","people"
"570","–","thanks"
"571","–","working"
"572","❒","single"
"573","❒","taken"
"574","✰","onlinebusiness"
"575","♥","happy"
"576","♥","u"
"577","⁰point","guard"
"578","⁰rising","th"
"579","⁰travel","team"
